   294   294   294   294   295   295   296   296   297   298   299   300   301   302   303   304   305   306   307   308   309   310   311   312   313   313   314   314   314   315   315   315   314   314   314   313   313   312   311   310   309   308   307   306   305   304   303   302   301   300   299   298   297   296   296   295   295   294   294   294
   273   273   273   274   276   277   279   281   283   286   289   292   295   298   301   304   308   311   314   317   320   323   325   328   330   331   333   334   335   335   336   335   335   334   333   331   330   328   325   323   320   317   314   311   308   304   301   298   295   292   289   286   283   281   279   277   276   274   273   273
   252   252   253   254   257   259   262   266   270   274   279   283   289   294   299   305   310   315   321   326   330   335   339   343   347   349   352   354   355   356   357   356   355   354   352   349   347   343   339   335   330   326   321   315   310   305   299   294   289   283   279   274   270   266   262   259   257   254   253   252
   231   231   233   235   238   241   246   251   256   262   269   276   283   290   297   305   312   320   327   334   341   347   353   358   363   367   371   374   376   377   377   377   376   374   371   367   363   358   353   347   341   334   327   320   312   305   297   290   283   276   269   262   256   251   246   241   238   235   233   231
   210   211   212   215   219   224   229   236   243   251   259   268   277   286   296   305   315   324   333   342   351   359   367   374   380   385   390   394   396   398   398   398   396   394   390   385   380   374   367   359   351   342   333   324   315   305   296   286   277   268   259   251   243   236   229   224   219   215   212   211
   189   190   192   196   200   206   214   222   231   240   250   261   272   283   294   306   317   329   340   350   361   371   380   388   396   403   409   413   417   419   419   419   417   413   409   403   396   388   380   371   361   350   340   329   317   306   294   283   272   261   250   240   231   222   214   206   200   196   192   190
   168   169   172   176   182   190   198   208   219   230   242   254   267   280   293   307   320   333   345   358   370   382   393   403   412   420   427   433   437   439   440   439   437   433   427   420   412   403   393   382   370   358   345   333   320   307   293   280   267   254   242   230   219   208   198   190   182   176   172   169
   147   148   152   157   165   174   184   195   208   221   235   249   263   278   292   307   322   337   351   365   379   392   405   417   427   437   445   452   457   460   461   460   457   452   445   437   427   417   405   392   379   365   351   337   322   307   292   278   263   249   235   221   208   195   184   174   165   157   152   148
   126   128   132   139   147   158   170   184   198   212   228   243   259   276   292   308   324   340   356   372   387   402   416   430   442   453   463   471   477   481   482   481   477   471   463   453   442   430   416   402   387   372   356   340   324   308   292   276   259   243   228   212   198   184   170   158   147   139   132   128
   105   107   112   121   131   144   158   173   189   205   222   239   256   274   291   309   326   344   361   378   395   411   427   442   456   469   480   490   497   502   503   502   497   490   480   469   456   442   427   411   395   378   361   344   326   309   291   274   256   239   222   205   189   173   158   144   131   121   112   107
    84    87    93   104   116   131   147   164   181   199   217   235   254   273   291   310   329   347   365   384   402   419   436   453   469   483   497   508   517   522   524   522   517   508   497   483   469   453   436   419   402   384   365   347   329   310   291   273   254   235   217   199   181   164   147   131   116   104    93    87
    63    67    75    88   103   120   138   156   175   194   213   233   252   272   291   311   330   350   369   388   407   426   445   463   480   496   512   525   536   543   545   543   536   525   512   496   480   463   445   426   407   388   369   350   330   311   291   272   252   233   213   194   175   156   138   120   103    88    75    67
    42    47    59    75    93   112   131   151   171   191   211   231   251   272   292   312   332   352   372   392   412   432   451   471   489   508   525   540   554   563   566   563   554   540   525   508   489   471   451   432   412   392   372   352   332   312   292   272   251   231   211   191   171   151   131   112    93    75    59    47
    21    30    47    66    86   107   127   148   168   189   210   230   251   272   292   313   334   354   375   395   416   436   457   477   497   516   535   553   570   582   587   582   570   553   535   516   497   477   457   436   416   395   375   354   334   313   292   272   251   230   210   189   168   148   127   107    86    66    47    30
     1    21    42    63    84   105   126   147   168   189   210   231   251   272   293   314   335   356   377   398   418   439   460   481   501   522   543   563   582   599   608   599   582   563   543   522   501   481   460   439   418   398   377   356   335   314   293   272   251   231   210   189   168   147   126   105    84    63    42    21
    21    30    47    67    87   107   128   149   169   190   211   232   253   273   294   315   336   357   378   399   420   441   462   482   503   524   545   566   587   608   629   608   587   566   545   524   503   482   462   441   420   399   378   357   336   315   294   273   253   232   211   190   169   149   128   107    87    67    47    30
    42    47    60    76    94   113   133   153   173   193   213   234   254   275   296   316   337   358   378   399   420   440   461   482   502   523   543   563   582   599   608   599   582   563   543   523   502   482   461   440   420   399   378   358   337   316   296   275   254   234   213   193   173   153   133   113    94    76    60    47
    63    67    76    89   105   122   140   159   178   197   217   237   257   277   297   317   338   358   378   398   418   439   459   478   498   517   536   554   570   582   587   582   570   554   536   517   498   478   459   439   418   398   378   358   338   317   297   277   257   237   217   197   178   159   140   122   105    89    76    67
    84    87    94   104   118   133   149   167   185   203   222   241   260   279   299   318   338   358   377   397   416   435   454   473   491   509   526   541   554   563   566   563   554   541   526   509   491   473   454   435   416   397   377   358   338   318   299   279   260   241   222   203   185   167   149   133   118   104    94    87
